,timestamp,Tin,Tout,RH,CO2,lux,PM2_5,total_energy
0,2024-12-03 16:00:00+00:00,20.039326740350887,10.5,50.945346341754366,847.8654970760234,0.0,4.475551440329788,418.43
1,2024-12-03 16:30:00+00:00,19.992830584500027,10.20166647772223,50.20069864066669,848.4055555555556,2.7111111111111112,4.622800374066664,453.43
2,2024-12-03 17:00:00+00:00,19.924772337555567,10.001111110055556,49.829020309777775,841.7833333333333,0.0,4.563583844227779,331.07
3,2024-12-03 17:30:00+00:00,19.858831372777754,9.900555176672245,49.32755747888892,824.0833333333334,0.0,4.546563817366666,407.03
4,2024-12-03 18:00:00+00:00,19.802385902722218,9.899999619000024,48.4963964885,844.4722222222222,4.466666666666667,4.621490191100001,742.27
5,2024-12-03 18:30:00+00:00,19.740442074111094,9.899999619000024,47.78747478044448,905.7611111111111,0.0,4.666856859816666,690.57
6,2024-12-03 19:00:00+00:00,19.723997635166683,9.899999619000024,47.683560053666646,861.4666666666667,0.0,4.888687202683334,497.1
7,2024-12-03 19:30:00+00:00,19.68477510955557,9.899999619000024,47.49474866622223,839.8888888888889,3.95,5.0772319078555554,1048.83
8,2024-12-03 20:00:00+00:00,19.708386188333343,9.899999619000024,47.46891867327778,882.2388888888889,0.0,5.182527089100004,934.07
9,2024-12-03 20:30:00+00:00,19.749608824055578,9.800000190999985,47.32073654616669,840.2388888888889,0.0,5.30375936827778,567.27
10,2024-12-03 21:00:00+00:00,19.74821925755558,9.699999809000015,47.972459114833335,904.1166666666667,7.283333333333333,5.126651867227778,677.2
11,2024-12-03 21:30:00+00:00,19.798222563055617,9.800000190999985,48.0966751311111,892.8555555555556,0.0,5.076513489083334,871.3
12,2024-12-03 22:00:00+00:00,19.810609561005645,9.5,47.827544654581025,833.3743016759777,0.0,5.118540316363129,418.93
13,2024-12-03 22:30:00+00:00,19.788275348055556,9.599444823327756,47.77539990733333,827.9277777777778,3.45,5.3120840602499975,414.87
14,2024-12-03 23:00:00+00:00,19.80544236544448,9.600000380999978,47.67060498127777,844.8555555555556,0.0,5.692800672855555,489.97
15,2024-12-03 23:30:00+00:00,19.824385781888914,9.600000380999978,47.37177013833335,799.25,0.0,5.460503994088888,420.24
16,2024-12-04 00:00:00+00:00,19.77977517511108,9.600000380999978,47.02806046794445,839.8777777777777,4.05,5.536082718127776,448.9
17,2024-12-04 00:30:00+00:00,19.77538619694445,9.600000380999978,46.850818633777806,821.0777777777778,3.75,5.318392324416667,405.77
18,2024-12-04 01:00:00+00:00,19.739608721944446,9.600000380999978,46.54600859777778,848.7444444444444,0.0,5.245980427016667,538.0
19,2024-12-04 01:30:00+00:00,19.75727541255557,9.500555557672222,46.46782646183335,807.5888888888888,0.0,5.057888187255556,428.23
20,2024-12-04 02:00:00+00:00,19.724052387722217,9.400555176672244,46.11754798894447,808.0833333333334,3.45,4.901937874188889,482.87
21,2024-12-04 02:30:00+00:00,19.726441371944418,9.399999619000022,45.906011539166684,808.6888888888889,0.0,4.802056062183334,513.3
22,2024-12-04 03:00:00+00:00,19.73988603888885,9.399999619000022,45.826324399444474,773.7888888888889,0.0,4.667311742577778,473.77
23,2024-12-04 03:30:00+00:00,19.733885213222212,9.399999619000022,45.634473694222216,757.2055555555555,3.594444444444444,4.43509719768889,514.3
24,2024-12-04 04:00:00+00:00,19.69238612994449,9.399999619000022,45.599582735333335,815.3333333333334,0.0,4.344102377388891,470.77
25,2024-12-04 04:30:00+00:00,19.724885972388865,9.600000380999978,46.190913073222205,777.9722222222222,0.0,4.201076613522224,539.23
26,2024-12-04 05:00:00+00:00,19.74771944655557,9.600000380999978,46.63583397338889,745.6111111111111,0.0,4.139788235561111,460.13
27,2024-12-04 05:30:00+00:00,19.768442600888925,9.600000380999978,46.89386058405558,724.8,0.0,3.9832931690833373,446.27
28,2024-12-04 06:00:00+00:00,19.745774375333323,9.600000380999978,46.223104265055554,768.1944444444445,2.4,3.967440646211112,605.1
29,2024-12-04 06:30:00+00:00,19.803108523500033,9.800000190999985,46.62929236122222,797.1888888888889,6.433333333333334,3.8309926126000002,507.6
30,2024-12-04 07:00:00+00:00,19.948386108277788,9.899999619000024,47.52648815594442,874.0166666666667,0.0,3.5722058455222223,485.9
31,2024-12-04 07:30:00+00:00,20.03188597355554,10.199999810000007,47.38942563788887,884.2888888888889,13.005555555555556,3.401873163383331,414.3
32,2024-12-04 08:00:00+00:00,19.968331188777793,10.399999620000013,47.35969890977781,902.7833333333333,0.0,3.240181100383334,562.2
33,2024-12-04 08:30:00+00:00,19.952528985333327,10.899999620000013,46.837510702333326,893.7444444444444,14.016666666666667,3.195630808688889,544.43
34,2024-12-04 09:00:00+00:00,19.955108728166678,11.199999810000007,42.21408144655555,693.65,12.205555555555556,6.337031657172226,644.93
35,2024-12-04 09:30:00+00:00,20.005916094916216,11.399999620000013,43.23301170357541,650.6256983240223,0.00558659217877,6.580478582977657,591.7
36,2024-12-04 10:00:00+00:00,19.893386173388866,11.399999620000012,44.1256291707778,671.4722222222222,0.0,6.20751261975,1429.67
37,2024-12-04 10:30:00+00:00,19.85360913661109,11.598889264666653,45.056281640888905,702.4944444444444,0.0,7.172955738172219,711.93
38,2024-12-04 11:00:00+00:00,19.828163474944482,11.600000379999988,42.47412228055555,582.2111111111111,0.0,7.164636770849999,682.67
39,2024-12-04 11:30:00+00:00,19.798274443055554,11.699444257611116,42.82326039227777,580.1611111111112,0.0,7.230572223699997,811.43
