timestamp,total_energy,Tout,Tin,RH,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max,total_energy_min,daily_energy_diff,cluster_kmeans,cluster_gmm,cluster_dbscan,baseline_load,baseline_load_gmm,hvac_load,hvac_load_gmm,baseline_load_dbscan,hvac_load_db,heat_pump_active
2024-09-03 09:00:00,147.33,19.9,28.890164777444447,31.322091833833337,9,0.7071067811865476,-0.7071067811865475,22.9,13.4,17.507291666666664,19.524999999999995,0.5303300858891398,174.57,143.715,213.45062500000003,5.112382027747674,0,3,9,7.230000000000004,1085.23,103.53,981.7,0,2,2,112.53,147.33,0.0,0.0,112.53,34.80000000000001,False
2024-09-03 09:30:00,129.83,20.65,28.676957462752817,31.0815648388202,9,0.7071067811865476,-0.7071067811865475,22.9,13.4,17.524652777777778,20.274999999999995,0.5303300858892201,174.57,138.58,207.51645833333336,12.374368670668195,0,3,9,-17.499999999999932,1085.23,103.53,981.7,0,2,2,112.53,129.83,0.0,0.0,112.53,17.30000000000001,False
2024-09-03 10:00:00,352.97,21.4,28.901886876222232,31.319517845444427,10,0.49999999999999994,-0.8660254037844387,22.9,13.4,17.544791666666665,21.024999999999995,0.5303300858893005,174.57,241.40000000000003,206.451875,157.7838071539601,0,3,9,223.13999999999993,1085.23,103.53,981.7,0,0,2,112.53,129.83,184.175,223.14000000000001,112.53,240.44000000000003,True
2024-09-03 10:30:00,176.97,22.150000000000002,28.987831899277776,31.76492872238888,10,0.49999999999999994,-0.8660254037844387,22.9,13.4,17.567708333333332,21.774999999999995,0.5303300858893809,174.57,264.97,194.56520833333335,124.45079348882507,0,3,9,-176.00000000000003,1085.23,103.53,981.7,0,0,2,112.53,129.83,8.174999999999983,47.139999999999986,112.53,64.44,False
2024-09-03 11:00:00,201.27,22.9,29.036942227277795,29.295738580277767,11,0.258819045102521,-0.9659258262890682,22.9,13.4,17.59340277777778,22.524999999999995,0.5303300858894613,174.57,189.12,185.11604166666666,17.18269478277024,0,3,9,24.30000000000015,1085.23,103.53,981.7,0,2,2,112.53,201.27,32.474999999999994,0.0,112.53,88.74000000000001,True
2024-09-03 11:30:00,187.8,23.65,29.14860964888884,29.37939044111113,11,0.258819045102521,-0.9659258262890682,23.65,13.4,17.621875,23.274999999999995,0.5303300858895417,174.57,194.53500000000003,185.99250000000004,9.524728342470675,0,3,9,-13.470000000000008,1085.23,103.53,981.7,0,2,2,112.53,187.8,19.004999999999995,0.0,112.53,75.27000000000001,False
2024-09-03 12:00:00,209.63,24.4,29.282776620333344,29.577525880555548,12,1.2246467991473532e-16,-1.0,24.4,13.4,17.653125,24.024999999999995,0.530330085889622,174.57,198.715,187.09041666666667,15.436141033233737,0,3,9,21.829999999999856,1085.23,103.53,981.7,0,2,2,112.53,209.63,40.83499999999998,0.0,112.53,97.1,True
2024-09-03 12:30:00,189.2,24.01363636363636,29.505887137277785,30.26847972861113,12,1.2246467991473532e-16,-1.0,24.4,13.4,17.68465909090909,24.206818181818175,0.27320034727610104,174.57,199.415,188.02645833333335,14.446191539567995,0,3,9,-20.429999999999954,1085.23,103.53,981.7,0,2,2,112.53,189.2,20.404999999999973,0.0,112.53,76.66999999999999,True
2024-09-03 13:00:00,160.67,23.627272727272725,29.7959434922778,31.995840888722224,13,-0.2588190451025208,-0.9659258262890683,24.4,13.4,17.71647727272727,23.820454545454538,0.2732003472760156,174.57,174.935,189.216875,20.1737564671971,0,3,9,-28.530000000000005,1085.23,106.03,979.2000000000002,0,2,2,112.53,160.67,0.0,0.0,112.53,48.139999999999986,False
2024-09-03 13:30:00,172.17,23.24090909090909,30.379720814388868,34.26725097283333,13,-0.2588190451025208,-0.9659258262890683,24.4,13.4,17.748579545454547,23.434090909090905,0.27320034727593645,174.57,166.42,189.81520833333335,8.131727983506236,0,3,9,11.500000000000053,1085.23,106.03,979.2000000000002,0,2,2,112.53,172.17,3.3749999999999716,0.0,112.53,59.639999999999986,False
2024-09-03 14:00:00,185.37000000000003,22.85454545454545,30.77888793922224,35.437187660833324,14,-0.4999999999999997,-0.8660254037844388,24.4,13.4,17.780965909090906,23.047727272727265,0.2732003472758523,174.57,178.76999999999998,190.78125,9.333809511544212,0,3,9,13.200000000000161,1085.23,106.03,979.2000000000002,0,2,2,112.53,185.37000000000003,16.575000000000017,0.0,112.53,72.84000000000003,False
2024-09-03 14:30:00,166.27000000000004,22.46818181818182,31.05938828766666,35.82921589772224,14,-0.4999999999999997,-0.8660254037844388,24.4,13.4,17.813636363636363,22.66136363636363,0.2732003472757556,174.57,175.82,191.74166666666667,13.505739520580867,0,3,9,-19.099999999999973,1085.23,106.03,979.2000000000002,0,2,2,112.53,166.27000000000004,0.0,0.0,112.53,53.74000000000004,False
2024-09-03 15:00:00,223.23,22.081818181818186,30.619627552625683,34.54686087033519,15,-0.7071067811865471,-0.7071067811865479,24.4,13.4,17.84659090909091,22.275,0.27320034727567144,174.57,194.75,192.65916666666666,40.27680225635919,0,3,9,56.95999999999994,1085.23,106.03,979.2000000000002,0,2,2,112.53,223.23,54.434999999999974,0.0,112.53,110.69999999999999,True
2024-09-03 15:30:00,229.00000000000003,21.695454545454545,29.945553884999978,34.14571289505557,15,-0.7071067811865471,-0.7071067811865479,24.4,13.4,17.879829545454545,21.888636363636362,0.273200347275586,169.985,226.115,193.95875,4.08000612720097,0,3,9,5.770000000000019,1085.23,106.03,979.2000000000002,0,2,2,112.53,229.00000000000003,60.20500000000001,0.0,112.53,116.47000000000003,True
2024-09-03 16:00:00,216.6,21.30909090909091,29.48955425677777,34.527786551666665,16,-0.8660254037844385,-0.5000000000000004,24.4,13.4,17.913352272727273,21.502272727272725,0.2732003472754943,169.985,222.8,195.21770833333335,8.76812408659819,0,3,9,-12.400000000000036,1085.23,106.03,979.2000000000002,0,2,2,112.53,216.6,47.80499999999998,0.0,112.53,104.07,True
2024-09-03 16:30:00,192.67,20.922727272727272,29.93899826466667,33.88387671583336,16,-0.8660254037844385,-0.5000000000000004,24.4,13.4,17.94715909090909,21.115909090909085,0.2732003472754089,169.985,204.635,195.43645833333335,16.921065273732196,0,3,9,-23.930000000000025,1085.23,106.03,979.2000000000002,0,2,2,112.53,192.67,23.87499999999997,0.0,112.53,80.13999999999999,True
2024-09-03 17:00:00,220.0,20.536363636363635,30.29599850977776,32.016916507833315,17,-0.9659258262890683,-0.25881904510252063,24.4,13.4,17.98125,20.729545454545452,0.2732003472753235,169.985,206.33499999999998,192.0525,19.32522832977436,0,3,9,27.329999999999817,1085.23,106.03,979.2000000000002,0,2,2,112.53,220.0,51.204999999999984,0.0,112.53,107.47,True
2024-09-03 17:30:00,237.93,20.15,30.435887039000004,32.37422321111113,17,-0.9659258262890683,-0.25881904510252063,24.4,13.4,18.015625,20.34318181818181,0.27320034727523806,169.22,228.965,193.0510416666667,12.67842458659642,0,3,9,17.930000000000142,1085.23,106.03,979.2000000000002,0,2,2,112.53,237.93,69.13499999999999,0.0,112.53,125.4,True
2024-09-03 18:00:00,224.67000000000002,19.76363636363636,30.64972140161113,32.8999587167222,18,-1.0,-1.8369701987210297e-16,24.4,13.4,18.05028409090909,19.95681818181818,0.2732003472751564,169.22,231.3,193.22541666666666,9.376235918428188,0,3,9,-13.260000000000032,1085.23,106.03,979.2000000000002,0,2,2,112.53,224.67000000000002,55.875,0.0,112.53,112.14000000000001,True
2024-09-03 18:30:00,246.1,19.377272727272725,30.75366537333332,32.41594138644444,18,-1.0,-1.8369701987210297e-16,24.4,13.4,18.08505366161616,19.570454545454538,0.273200347275071,169.22,235.385,194.73104166666667,15.153298320763087,0,3,9,21.430000000000003,1085.23,106.03,979.2000000000002,0,2,2,112.53,246.1,77.30499999999998,0.0,112.53,133.57,True
2024-09-03 19:00:00,253.87,18.99090909090909,30.77172060988889,33.17358898583335,19,-0.9659258262890684,0.2588190451025203,24.4,13.4,18.119933712121213,19.184090909090905,0.2732003472749918,169.22,249.985,196.57208333333332,5.494219689647261,0,3,9,7.769999999999909,1085.23,106.03,979.2000000000002,0,0,2,112.53,246.1,85.07499999999999,7.77000000000001,112.53,141.34,True
2024-09-03 19:30:00,223.67,18.60454545454545,30.37899905277777,32.67831552283333,19,-0.9659258262890684,0.2588190451025203,24.4,13.4,18.15492424242424,18.797727272727265,0.27320034727490766,169.22,238.76999999999998,178.62291666666667,21.354624791788257,0,3,9,-30.199999999999964,352.97,106.03,246.94000000000003,0,0,2,112.53,246.1,54.87499999999997,0.0,112.53,111.13999999999999,True
2024-09-03 20:00:00,218.07000000000002,18.21818181818182,29.350832282055546,30.63664509433333,20,-0.8660254037844386,0.5000000000000001,24.4,13.4,18.19002525252525,18.41136363636363,0.27320034727481096,169.22,220.87,177.33624999999998,3.959797974389197,0,3,9,-5.60000000000003,352.97,106.03,246.94000000000003,0,2,2,112.53,218.07000000000002,49.275000000000006,0.0,112.53,105.54000000000002,True
