house_idx,day_no,pv_overlap_pct_suggested,pv_overlap_pct_gt,avg_daily_comfort_suggested,avg_daily_comfort_gt
0,1,100.0,14.285714285714286,83.33749999999999,83.45208333333333
0,2,100.0,22.857142857142858,84.95208333333333,82.45208333333333
0,3,100.0,40.0,85.83333333333333,86.246875
1,1,100.0,97.14285714285714,92.59166666666668,94.8114583333333
1,2,100.0,94.28571428571428,92.23333333333332,94.44583333333333
1,3,100.0,91.42857142857144,88.33749999999999,94.509375
2,1,100.0,45.71428571428572,87.04895833333335,89.10000000000002
2,2,100.0,28.571428571428573,84.01145833333334,90.05312500000001
2,3,100.0,17.142857142857142,91.1375,91.49791666666664
3,1,100.0,94.28571428571428,89.7375,94.93854166666664
3,2,100.0,100.0,88.90000000000002,94.96041666666666
3,3,100.0,100.0,88.25520833333333,94.84791666666666
4,1,100.0,0.0,90.57083333333333,88.49791666666665
4,2,100.0,0.0,90.88645833333334,87.63541666666667
4,3,100.0,0.0,88.31458333333335,86.38749999999999
5,1,100.0,14.285714285714286,89.00833333333334,84.41666666666667
5,2,100.0,22.857142857142858,87.93541666666665,87.69687500000002
5,3,100.0,34.285714285714285,87.92291666666665,85.31041666666667
6,1,100.0,57.142857142857146,85.60625,83.98958333333333
6,2,100.0,62.85714285714285,84.99062500000001,86.0125
6,3,100.0,51.42857142857143,87.99166666666667,85.06145833333333
