house_idx,day_no,pv_overlap_pct_suggested,pv_overlap_pct_gt,avg_daily_comfort_suggested,avg_daily_comfort_gt
0,1,100.0,11.428571428571429,92.27083333333331,86.246875
0,2,100.0,0.0,80.953125,83.45208333333333
0,3,100.0,60.0,89.67916666666667,82.21354166666666
1,1,100.0,54.285714285714285,91.82083333333333,94.509375
1,2,100.0,71.42857142857143,88.99479166666667,94.82083333333333
1,3,100.0,82.85714285714286,93.98125,94.44583333333333
2,1,100.0,97.14285714285714,87.64270833333335,87.03541666666668
2,2,100.0,57.142857142857146,87.71770833333333,89.10000000000002
2,3,100.0,91.42857142857144,85.45937499999998,87.878125
3,1,100.0,74.28571428571429,94.05729166666669,94.93854166666664
3,2,100.0,57.142857142857146,87.309375,94.73854166666666
3,3,100.0,85.71428571428571,94.95625,94.84999999999998
4,1,100.0,8.571428571428571,86.128125,88.10520833333334
4,2,100.0,31.428571428571427,80.38125000000001,86.38749999999999
4,3,100.0,62.85714285714285,86.77812499999999,87.63541666666667
5,1,100.0,71.42857142857143,86.28229166666665,84.82604166666665
5,2,100.0,65.71428571428571,84.88854166666667,82.70208333333333
5,3,100.0,22.857142857142858,85.46666666666665,82.62083333333334
6,1,100.0,34.285714285714285,85.90416666666665,85.06145833333333
6,2,100.0,28.571428571428573,86.26979166666666,81.81770833333333
6,3,100.0,48.57142857142857,85.91041666666666,82.01666666666667
