timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h,PMV,PPD,Overall_Comfort
2022-10-01 00:00:00,28.634965755552,0.0,0.0,20.2222222,9.919333333333332,54.5,0,3.663571136839436,43.03325515548055,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.5,5.4,100.0,80.0,5.7,7.049856,0.0,9.0,20.21444443,54.5,54.5,54.5,54.5,54.5,-10.302888866666668,0.0,0.0,9.919333333333332,9.814,20.2222222,9.919333333333332,9.538077,9.538077,9.538077,9.538077,9.533743,1,1.0,1,0.0,-0.5,10.2,89.8
2022-10-01 00:15:00,16.58961430555,0.0,0.0,20.21444443,9.814,54.5,0,3.663571136839436,43.03325515548055,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.575,100.0,80.25,5.625,7.01556,0.0,8.875,20.16851854933333,54.5,54.5,54.5,54.5,54.71666666666667,-10.40044443,-0.0077777700000005,-0.1053333333333323,9.919333333333332,9.899333333333336,20.218333315,9.866666666666667,9.533743,9.538077,9.538077,9.538077,9.545975,0,2.0,0,0.0,-0.5,10.3,89.7
2022-10-01 00:30:00,16.569059644436,0.0,0.0,20.16851854933333,9.899333333333336,54.71666666666667,0,3.663571136839436,43.03325515548055,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.7,5.75,100.0,80.5,5.550000000000001,6.9813075,0.0,8.75,20.124444444,54.5,54.5,54.5,54.5,55.0,-10.269185216,-0.0459258806666653,0.0853333333333346,9.814,9.838666666666668,20.20172839311111,9.877555555555556,9.545975,9.533743,9.538077,9.538077,9.570702,0,3.0,0,0.0,-0.51,10.5,89.5
2022-10-01 00:45:00,16.782106572217998,0.0,0.0,20.124444444,9.838666666666668,55.0,0,3.663571136839436,43.03325515548055,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.8,5.925,100.0,80.75,5.4750000000000005,6.9470963,0.0,8.625,20.08703705,54.71666666666667,54.5,54.5,54.5,55.0,-10.285777777333331,-0.0440741053333368,-0.0606666666666679,9.899333333333336,9.78,20.169135807777774,9.850666666666667,9.570702,9.545975,9.533743,9.538077,9.549779,0,4.0,0,0.0,-0.52,10.6,89.4
2022-10-01 01:00:00,30.974316694438,0.0,0.0,20.08703705,9.78,55.0,0,3.663571136839436,43.03325515548055,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.9,6.1,100.0,81.0,5.4,6.9129305,0.0,8.5,20.0555556,55.0,54.71666666666667,54.5,54.5,55.0,-10.30703705,-0.0374073939999988,-0.0586666666666673,9.838666666666668,9.829333333333333,20.126666681111107,9.839333333333334,9.549779,9.570702,9.545975,9.533743,9.5322,0,4.0,0,0.0,-0.53,10.8,89.2
2022-10-01 01:15:00,38.970107750002,0.0,0.0,20.0555556,9.829333333333333,55.0,0,3.663571136839436,43.03325515548055,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.825,5.925,100.0,82.5,5.550000000000001,6.9958696,0.0,8.4,20.055185229333336,55.0,55.0,54.71666666666667,54.5,55.0,-10.22622226666667,-0.0314814499999975,0.0493333333333332,9.78,9.670666666666667,20.08901236466667,9.816,9.5322,9.549779,9.570702,9.545975,9.531994,0,4.0,0,0.0,-0.54,11.0,89.0
2022-10-01 01:30:00,17.649571922215998,0.0,0.0,20.055185229333336,9.670666666666667,55.0,0,3.663571136839436,43.03325515548055,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.75,5.75,100.0,84.0,5.7,7.077425,0.0,8.3,20.013333344,55.0,55.0,55.0,54.71666666666667,55.0,-10.384518562666669,-0.0003703706666655,-0.1586666666666651,9.829333333333333,9.626666666666669,20.065925959777772,9.76,9.531994,9.5322,9.549779,9.570702,9.508668,0,4.0,0,0.0,-0.54,11.0,89.0
2022-10-01 01:45:00,287.024074277772,0.0,0.0,20.013333344,9.626666666666669,55.0,0,3.663571136839436,43.03325515548055,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.675,5.575,100.0,85.5,5.85,7.15761,0.0,8.2,19.975925906666664,55.0,55.0,55.0,55.0,55.0,-10.386666677333332,-0.0418518853333367,-0.0440000000000004,9.670666666666667,9.606666666666666,20.04135805777778,9.708888888888888,9.508668,9.531994,9.5322,9.549779,9.48786,0,4.0,0,0.0,-0.55,11.2,88.8
2022-10-01 02:00:00,26.521994811104,0.0,0.0,19.975925906666664,9.606666666666666,55.0,0,3.663571136839436,43.03325515548055,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.4,100.0,87.0,6.0,7.236439,0.0,8.1,19.93666663,55.0,55.0,55.0,55.0,55.0,-10.369259239999998,-0.0374074373333357,-0.0200000000000013,9.626666666666669,9.596666666666666,20.014814826666665,9.634666666666666,9.48786,9.508668,9.531994,9.5322,9.466064,0,4.0,0,0.0,-0.56,11.5,88.5
2022-10-01 02:15:00,33.14367428333,0.0,0.0,19.93666663,9.596666666666666,55.0,0,3.663571136839436,43.03325515548055,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.4,5.125,100.0,86.75,6.05,7.2505774,0.0,8.175,19.89111112,55.0,55.0,55.0,55.0,55.21666666666667,-10.339999963333332,-0.0392592766666659,-0.0099999999999997,9.606666666666666,9.402,19.97530862688889,9.61,9.466064,9.48786,9.508668,9.531994,9.478024,0,4.0,0,0.0,-0.56,11.7,88.3
2022-10-01 02:30:00,51.26461583334,0.0,0.0,19.89111112,9.402,55.21666666666667,0,3.663571136839436,43.03325515548055,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.2,4.85,100.0,86.5,6.1,7.2646604,0.0,8.25,19.8888889,55.0,55.0,55.0,55.0,55.5,-10.489111120000002,-0.0455555099999962,-0.1946666666666665,9.596666666666666,9.175,19.934567885555555,9.53511111111111,9.478024,9.466064,9.48786,9.508668,9.525416,0,4.0,0,0.0,-0.57,11.9,88.1
2022-10-01 02:45:00,34.056415572218,0.0,0.0,19.8888889,9.175,55.5,0,3.663571136839436,43.03325515548055,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.0,4.575,100.0,86.25,6.15,7.27869,0.0,8.325,19.858796283333334,55.21666666666667,55.0,55.0,55.0,55.5,-10.713888900000002,-0.0022222200000001,-0.2270000000000003,9.402,9.14,19.90555555,9.39122222222222,9.525416,9.478024,9.466064,9.48786,9.508629,0,4.0,0,0.0,-0.57,11.9,88.1
2022-10-01 03:00:00,21.23276198888,0.0,0.0,19.858796283333334,9.14,55.5,0,3.663571136839436,43.03325515548055,3,5,10,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.8,4.3,100.0,86.0,6.2,7.292664,0.0,8.4,19.8333333,55.5,55.21666666666667,55.0,55.0,55.5,-10.718796283333331,-0.0300926166666677,-0.0349999999999983,9.175,9.282666666666666,19.87959876777778,9.239,9.508629,9.525416,9.478024,9.466064,9.494445,0,4.0,0,0.0,-0.58,12.1,87.9
2022-10-01 03:15:00,24.587349916662003,0.0,0.0,19.8333333,9.282666666666666,55.5,0,3.663571136839436,43.03325515548055,3,5,10,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.8,3.95,100.0,84.0,6.075,7.2382965,0.0,8.65,19.83296293,55.5,55.5,55.21666666666667,55.0,55.5,-10.550666633333334,-0.0254629833333339,0.1426666666666651,9.14,9.303333333333333,19.86033949444445,9.199222222222222,9.494445,9.508629,9.525416,9.478024,9.494239,0,4.0,0,0.0,-0.59,12.2,87.8
2022-10-01 03:30:00,23.559335555548,0.0,0.0,19.83296293,9.303333333333333,55.5,0,3.663571136839436,43.03325515548055,3,5,10,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,1.8,3.6,100.0,82.0,5.95,7.180027,0.0,8.9,19.79111112,55.5,55.5,55.5,55.21666666666667,55.57,-10.529629596666668,-0.0003703699999988,0.020666666666667,9.282666666666666,9.382666666666667,19.841697504444443,9.242,9.494239,9.494445,9.508629,9.525416,9.48291,0,4.0,0,0.0,-0.59,12.2,87.8
