timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,month,PMV,PPD,Overall_Comfort
2022-08-14 13:30:00,65.135727866664,0.0,0.0,26.747222215,25.855,33.65,8,0.31,7.0,93.0
2022-08-14 13:45:00,171.20787366111,32.828409011112,32.831464505554,26.33111109,25.66333333333333,34.76,8,0.18,5.7,94.3
2022-08-14 14:00:00,190.317942611108,53.346754927778,53.349810405554,26.49777775,26.31866666666667,34.35,8,0.23,6.1,93.9
2022-08-14 14:15:00,210.679628161106,60.6192418,60.622297294442,26.764444456,26.34333333333333,33.36,8,0.31,7.0,93.0
2022-08-14 14:30:00,220.602564694434,68.953352872222,68.95724168333,26.703703711333333,26.94533333333333,32.33,8,0.28,6.7,93.3
2022-08-14 14:45:00,61.052280127774,10.649018505554,10.65457388333,26.275555526,26.674,33.25,8,0.15,5.5,94.5
2022-08-14 15:00:00,393.00705700555,0.0,0.0,25.163703669333334,26.23,36.586666666666666,8,-0.18,5.7,94.3
2022-08-14 15:15:00,159.47639852222,36.470485572222,36.473263294442,24.311111092,25.828666666666667,38.21,8,-0.45,9.1,90.9
2022-08-14 15:30:00,211.265160355548,58.546546911112,58.548213544444,24.081111124666663,26.264666666666667,38.10666666666667,8,-0.52,10.7,89.3
2022-08-14 15:45:00,202.138581033324,62.295285855556,62.298063577776,24.143333362,26.296666666666667,36.24,8,-0.51,10.5,89.5
2022-08-14 16:00:00,193.914187688884,54.018116955556,54.020616905554,23.861481497333333,26.327333333333332,36.21666666666667,8,-0.6,12.7,87.3
2022-08-14 16:15:00,118.751916449998,22.208556055556,22.212444816666,23.527777818,26.63,36.78,8,-0.71,15.5,84.5
2022-08-14 16:30:00,108.170673066664,0.0,0.0,23.085185185333334,26.474,39.07333333333334,8,-0.83,19.7,80.3
2022-08-14 16:45:00,83.284724127774,0.0,0.0,22.859999964,26.278,40.45,8,-0.9,22.0,78.0
2022-08-14 17:00:00,143.27454668888402,31.573459244444,31.576236949998,22.80851850933333,25.84933333333333,41.193333333333335,8,-0.91,22.4,77.6
2022-08-14 17:15:00,235.924173955548,61.224495355556,61.228106394442,22.701111134,25.88733333333333,40.84,8,-0.95,23.9,76.1
2022-08-14 17:30:00,178.025934361106,51.3887777,51.391833194442,22.694814818666668,25.703333333333333,38.86666666666667,8,-0.96,24.5,75.5
2022-08-14 17:45:00,184.343737238882,50.674084072222,50.677139566664,22.532222224,25.842666666666663,38.81,8,-1.02,26.8,73.2
2022-08-14 18:00:00,89.30087232222,0.0,0.0,22.374444430666664,25.872666666666667,39.18,8,-1.07,29.0,71.0
2022-08-14 18:15:00,90.409716849998,0.0,0.0,22.2777778,25.64133333333333,41.21,8,-1.09,29.9,70.1
2022-08-14 18:30:00,125.239434822216,0.0,0.0,22.302222220666668,25.59733333333333,41.98333333333333,8,-1.07,29.3,70.7
2022-08-14 18:45:00,108.465383594438,18.5042598,18.50787082222,22.375555556,25.630666666666663,42.38,8,-1.05,28.1,71.9
2022-08-14 19:00:00,211.381266844436,58.018512483334,58.021290205554,22.340370386,25.518,41.84,8,-1.06,28.8,71.2
2022-08-14 19:15:00,144.84170626666,33.106453488888,33.111453355552,22.21222222,25.350666666666665,40.07,8,-1.12,31.3,68.7
2022-08-14 19:30:00,91.10718898333,0.0,0.0,22.062592634,25.212,41.376666666666665,8,-1.16,33.3,66.7
2022-08-14 19:45:00,118.68191936666,0.0,0.0,22.105555564,24.95133333333333,42.38,8,-1.14,32.3,67.7
2022-08-14 20:00:00,103.314756177776,18.032611983334,18.037334077776,22.211851878666668,24.700666666666667,42.71333333333334,8,-1.1,30.5,69.5
2022-08-14 20:15:00,459.854938599992,46.681188244444,46.68479928333,22.170000026,24.384666666666664,42.41,8,-1.12,31.2,68.8
2022-08-14 20:30:00,154.114113038886,36.21160706111,36.21466252222,21.957777784,24.078666666666667,40.63666666666666,8,-1.2,35.2,64.8
2022-08-14 20:45:00,97.392770916662,0.0,0.0,21.820000018,23.656,41.28,8,-1.24,37.3,62.7
2022-08-14 21:00:00,112.53272084444,0.0,0.0,21.93296297,23.354,42.67666666666666,8,-1.19,35.0,65.0
2022-08-14 21:15:00,95.342852983326,0.0,0.0,22.050000026000003,23.12,43.0,8,-1.15,33.0,67.0
2022-08-14 21:30:00,181.11247762777,40.626152672222,40.629485938886,22.059629625333333,22.820666666666668,42.77333333333333,8,-1.15,32.9,67.1
2022-08-14 21:45:00,182.176601661106,43.015223772222,43.018834794442,21.849999984,22.582,41.36,8,-1.23,36.8,63.2
2022-08-14 22:00:00,105.513001627774,0.0,0.0,21.674074104666666,22.25933333333333,41.65333333333333,8,-1.29,39.7,60.3
2022-08-14 22:15:00,84.538562922216,0.0,0.0,21.76666669,21.774,42.88,8,-1.25,37.7,62.3
2022-08-14 22:30:00,105.306621083326,0.0,0.0,21.90925924733333,21.418,43.21666666666667,8,-1.2,35.2,64.8
2022-08-14 22:45:00,148.737939194442,33.707540511112,33.710318216666,22.005555574,21.31733333333333,43.36,8,-1.17,33.6,66.4
2022-08-14 23:00:00,235.092818227774,62.935260288888,62.938593555552,21.822222220666667,21.04133333333333,41.88333333333333,8,-1.24,37.1,62.9
2022-08-14 23:15:00,247.53426498333,78.97795187222201,78.981007349998,21.580000016,20.942,40.17,8,-1.33,41.9,58.1
2022-08-14 23:30:00,138.16752874444,47.0997826,47.10339362222,21.35111108,20.820666666666668,39.736666666666665,8,-1.41,46.1,53.9
2022-08-14 23:45:00,155.73515929444198,44.598771511112,44.602938094442,21.02999999,20.436,40.07,8,-1.52,51.9,48.1
2022-08-15 00:00:00,164.53786278888398,44.621270644444,44.623770594442,20.791111084,20.295333333333332,40.48,8,-1.6,56.3,43.7
2022-08-15 00:15:00,181.741341238886,44.05851533889,44.062404149998,20.629999994,20.241333333333333,40.57,8,-1.65,59.2,40.8
2022-08-15 00:30:00,167.2566428,44.519885766668,44.523219033332,20.532962986,19.908,40.98,8,-1.68,60.9,39.1
