timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,month,PMV,PPD,Overall_Comfort
2022-08-14 13:30:00,104.994411072226,37.856263455556,37.863763172222,22.996666667,25.855,38.0,8,-0.87,21.0,79.0
2022-08-14 13:45:00,147.960192472222,55.723326544444,55.73665936111,22.90962963866667,25.66333333333333,38.0,8,-0.9,22.0,78.0
2022-08-14 14:00:00,148.729328305558,57.411314555556,57.424369616666,22.85999999,26.31866666666667,37.99,8,-0.91,22.6,77.4
2022-08-14 14:15:00,157.734246011108,58.072677016666,58.084621005554,22.77777778133333,26.34333333333333,37.78,8,-0.94,23.7,76.3
2022-08-14 14:30:00,168.85213456111,61.221995455556005,61.235328305554,22.666666652,26.94533333333333,38.48,8,-0.97,25.0,75.0
2022-08-14 14:45:00,150.70924913889,58.6151553,58.628765905554,22.54518520266667,26.674,38.5,8,-1.01,26.7,73.3
2022-08-14 15:00:00,145.294188033332,54.317827183334,54.33171556111,22.35888888,26.23,38.75,8,-1.07,29.4,70.6
2022-08-14 15:15:00,307.30298513889,57.802410027778,57.815187316666,22.07629632,25.828666666666667,39.0,8,-1.17,33.8,66.2
2022-08-14 15:30:00,169.226286211112,60.832011055556,60.845621677776,21.888888852,26.264666666666667,39.25,8,-1.23,36.8,63.2
2022-08-14 15:45:00,166.318069277776,67.328140083334,67.342861811108,21.7222222,26.296666666666667,39.5,8,-1.29,39.6,60.4
2022-08-14 16:00:00,161.607702149998,69.031127527778,69.04584922222,21.55666666,26.327333333333332,39.51,8,-1.34,42.5,57.5
2022-08-14 16:15:00,150.71952647778,57.200767444444,57.212989188888,21.444444418666667,26.63,39.906666666666666,8,-1.38,44.4,55.6
2022-08-14 16:30:00,161.911301138886,58.767371427778,58.780426488888,21.333333348,26.474,40.24,8,-1.41,46.3,53.7
2022-08-14 16:45:00,141.920434005558,52.955659472222,52.9670479,21.222222218666666,26.278,40.18666666666666,8,-1.45,48.4,51.6
2022-08-14 17:00:00,135.561799544444,51.227395255556,51.240450349998,21.1388889,25.84933333333333,40.5,8,-1.48,49.8,50.2
2022-08-14 17:15:00,139.080825427778,52.107637844444,52.120415116666,21.055555581333333,25.88733333333333,40.81333333333334,8,-1.51,51.2,48.8
