timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,month,hour,dow,hour_sin,hour_cos,dow_sin,dow_cos,Tin_target,hvac_mode,PMV,PPD,Overall_Comfort,Tout_minus_Tin,Tout_diff,Tin_diff,Tout_lag1,Tout_fut1
2022-08-14 13:30:00,8.060788605558,0.0,0.0,27.362222233,25.855,39.0,8,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,27.234074100666664,0,1.12,31.7,68.3,-1.5072222330000002,0.0,0.0,25.855,25.66333333333333
2022-08-14 13:45:00,52.148469544444,0.0,0.0,27.234074100666664,25.66333333333333,39.21666666666667,8,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,27.1666667,0,1.1,30.3,69.7,-1.5707407673333336,-0.19166666666666998,-0.12814813233333666,25.855,26.31866666666667
2022-08-14 14:00:00,49.209976005554,0.0,0.0,27.1666667,26.31866666666667,39.5,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,27.164814848,0,1.08,29.7,70.3,-0.8480000333333315,0.6553333333333384,-0.06740740066666362,25.66333333333333,26.34333333333333
2022-08-14 14:15:00,46.555082105558,0.0,0.0,27.164814848,26.34333333333333,39.50333333333333,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.924444464,0,1.08,29.6,70.4,-0.8214815146666687,0.024666666666661285,-0.001851852000001486,26.31866666666667,26.94533333333333
2022-08-14 14:30:00,45.194025483334,0.0,0.0,26.924444464,26.94533333333333,39.95,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.576666666,0,1.03,27.2,72.8,0.020888869333330007,0.6020000000000003,-0.24037038399999844,26.34333333333333,26.674
2022-08-14 14:45:00,32.448146588884,0.0,0.0,26.576666666,26.674,40.48333333333333,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.078888912000004,0,0.94,23.8,76.2,0.09733333399999822,-0.271333333333331,-0.3477777979999992,26.94533333333333,26.23
2022-08-14 15:00:00,19.313116461106,0.0,0.0,26.078888912000004,26.23,41.02,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,25.428888904666668,0,0.83,19.4,80.6,0.15111108799999684,-0.44399999999999906,-0.4977777539999977,26.674,25.828666666666667
2022-08-14 15:15:00,45.833166550002,0.0,0.0,25.428888904666668,25.828666666666667,42.18,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,24.93,0,0.68,14.7,85.3,0.39977776199999937,-0.40133333333333354,-0.6500000073333361,26.23,26.264666666666667
2022-08-14 15:30:00,33.728373077776,0.0,0.0,24.93,26.264666666666667,42.95,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,24.524444444,0,0.56,11.6,88.4,1.3346666666666671,0.43599999999999994,-0.4988889046666678,25.828666666666667,26.296666666666667
2022-08-14 15:45:00,19.100347238882,0.0,0.0,24.524444444,26.296666666666667,43.7,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,24.19666669,0,0.47,9.6,90.4,1.7722222226666666,0.03200000000000003,-0.4055555559999995,26.264666666666667,26.32733333333333
2022-08-14 16:00:00,45.741503666664,0.0,0.0,24.19666669,26.32733333333333,44.45,8,16,6,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,23.958148154,0,0.4,8.3,91.7,2.1306666433333277,0.030666666666661513,-0.32777775399999953,26.296666666666667,26.63
2022-08-14 16:15:00,28.764127155556,0.0,0.0,23.958148154,26.63,45.2,8,16,6,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,23.846666644,0,0.34,7.4,92.6,2.671851845999999,0.30266666666667064,-0.23851853600000084,26.32733333333333,26.474
2022-08-14 16:30:00,24.143200933332,0.0,0.0,23.846666644,26.474,45.88,8,16,6,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,23.85740739333333,0,0.32,7.1,92.9,2.627333356000001,-0.1559999999999988,-0.11148151000000084,26.63,26.278
2022-08-14 16:45:00,45.715115855552,0.0,0.0,23.85740739333333,26.278,46.0,8,16,6,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,23.8888889,0,0.32,7.2,92.8,2.42059260666667,-0.1960000000000015,0.010740749333329802,26.474,25.84933333333333
2022-08-14 17:00:00,25.873409472222,0.0,0.0,23.8888889,25.84933333333333,46.07,8,17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,23.888518529333336,0,0.33,7.3,92.7,1.960444433333329,-0.4286666666666683,0.03148150666667249,26.278,25.88733333333333
2022-08-14 17:15:00,27.92999392222,0.0,0.0,23.888518529333336,25.88733333333333,46.48,8,17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,23.846666644,0,0.33,7.3,92.7,1.998814803999995,0.038000000000000256,-0.00037037066666556484,25.84933333333333,25.703333333333333
2022-08-14 17:30:00,45.52151248333,0.0,0.0,23.846666644,25.703333333333333,46.5,8,17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,23.85740739333333,0,0.32,7.2,92.8,1.8566666893333341,-0.1839999999999975,-0.041851885333336725,25.88733333333333,25.842666666666663
2022-08-14 17:45:00,294.44211076111,0.0,0.0,23.85740739333333,25.842666666666663,46.5,8,17,6,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,23.8888889,0,0.33,7.2,92.8,1.9852592733333339,0.13933333333332953,0.010740749333329802,25.703333333333333,25.872666666666667
2022-08-14 18:00:00,30.13879448333,0.0,0.0,23.8888889,25.872666666666667,46.43,8,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,23.8888889,0,0.33,7.3,92.7,1.983777766666666,0.03000000000000469,0.03148150666667249,25.842666666666663,25.64133333333333
2022-08-14 18:15:00,45.714560311108,0.0,0.0,23.8888889,25.64133333333333,46.02,8,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,23.881111123,0,0.33,7.3,92.7,1.7524444333333271,-0.23133333333333894,0.0,25.872666666666667,25.59733333333333
2022-08-14 18:30:00,22.785477561106,0.0,0.0,23.881111123,25.59733333333333,45.965,8,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,23.811111129666664,0,0.33,7.3,92.7,1.7162222103333313,-0.04399999999999693,-0.0077777770000011515,25.64133333333333,25.630666666666663
2022-08-14 18:45:00,31.551793594438,0.0,0.0,23.811111129666664,25.630666666666663,45.65166666666666,8,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,23.735555544,0,0.31,7.0,93.0,1.8195555369999994,0.03333333333333144,-0.06999999333333662,25.59733333333333,25.518
