timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,month,hour,dow,hour_sin,hour_cos,dow_sin,dow_cos,Tin_target,hvac_mode,PMV,PPD,Overall_Comfort,Tout_minus_Tin,Tout_diff,Tin_diff,Tout_lag1,Tout_fut1
2022-08-14 13:30:00,17.923451,0.0,0.0,26.663333367,25.855,43.0,8,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,26.56592596,0,0.99,25.6,74.4,-0.8083333669999995,0.0,0.0,25.855,25.66333333333333
2022-08-14 13:45:00,9.999323,0.0,0.0,26.56592596,25.66333333333333,43.09333333333333,8,13,6,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,26.5,0,0.96,24.6,75.4,-0.9025926266666708,-0.19166666666666998,-0.09740740699999861,25.855,26.31866666666667
2022-08-14 14:00:00,24.090146,0.0,0.0,26.5,26.31866666666667,43.49,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.444444418666667,0,0.95,24.1,75.9,-0.18133333333333113,0.6553333333333384,-0.06592596000000128,25.66333333333333,26.34333333333333
2022-08-14 14:15:00,40.105616,0.0,0.0,26.444444418666667,26.34333333333333,43.59333333333333,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.332222238,0,0.94,23.6,76.4,-0.10111108533333635,0.024666666666661285,-0.05555558133333349,26.31866666666667,26.94533333333333
2022-08-14 14:30:00,221.178375,0.0,0.0,26.332222238,26.94533333333333,43.99,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,26.17703706,0,0.91,22.6,77.4,0.6131110953333305,0.6020000000000003,-0.11222218066666656,26.34333333333333,26.674
2022-08-14 14:45:00,14.511643,0.0,0.0,26.17703706,26.674,44.09333333333333,8,14,6,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,25.99888889,0,0.88,21.2,78.8,0.4969629399999995,-0.271333333333331,-0.15518517799999998,26.94533333333333,26.23
2022-08-14 15:00:00,40.596153,0.0,0.0,25.99888889,26.23,44.74,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,25.76740742133333,0,0.84,19.8,80.2,0.2311111100000005,-0.44399999999999906,-0.17814817000000005,26.674,25.828666666666667
2022-08-14 15:15:00,17.651516,0.0,0.0,25.76740742133333,25.828666666666667,45.09333333333333,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,25.55555555,0,0.78,17.9,82.1,0.0612592453333356,-0.40133333333333354,-0.23148146866666863,26.23,26.264666666666667
2022-08-14 15:30:00,9.987935,0.0,0.0,25.55555555,26.264666666666667,45.5,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,25.343703678666664,0,0.73,16.4,83.6,0.7091111166666657,0.43599999999999994,-0.21185187133333017,25.828666666666667,26.296666666666667
2022-08-14 15:45:00,38.435406,0.0,0.0,25.343703678666664,26.296666666666667,45.906666666666666,8,15,6,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,25.167777762,0,0.69,14.9,85.1,0.952962988000003,0.03200000000000003,-0.21185187133333727,26.264666666666667,26.32733333333333
