timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h,PMV,PPD,Overall_Comfort
2022-10-01 00:00:00,110.125039188892,0.0,0.0,21.21185184,9.919333333333332,57.0,0,2.765110804981162,31.288382862258345,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.5,5.4,100.0,80.0,5.7,7.049856,0.0,9.0,21.16777781,57.0,57.0,57.0,57.0,57.0,-11.292518506666667,0.0,0.0,9.919333333333332,9.814,21.21185184,9.919333333333332,10.567349,10.567349,10.567349,10.567349,10.540364,1,1.0,1,0.0,-0.25,6.3,93.7
2022-10-01 00:15:00,104.649147183334,0.0,0.0,21.16777781,9.814,57.0,0,2.765110804981162,31.288382862258345,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.575,100.0,80.25,5.625,7.01556,0.0,8.875,21.156296321333333,57.0,57.0,57.0,57.0,57.09333333333333,-11.35377781,-0.0440740300000008,-0.1053333333333323,9.919333333333332,9.899333333333336,21.189814825,9.866666666666667,10.540364,10.567349,10.567349,10.567349,10.550592,0,2.0,0,0.0,-0.26,6.4,93.6
2022-10-01 00:30:00,299.438855250002,0.0,0.0,21.156296321333333,9.899333333333336,57.09333333333333,0,2.765110804981162,31.288382862258345,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.7,5.75,100.0,80.5,5.550000000000001,6.9813075,0.0,8.75,21.140000012,57.0,57.0,57.0,57.0,58.03,-11.256962987999998,-0.0114814886666678,0.0853333333333346,9.814,9.838666666666668,21.178641990444444,9.877555555555556,10.550592,10.540364,10.567349,10.567349,10.713546,0,3.0,0,0.0,-0.26,6.4,93.6
2022-10-01 00:45:00,328.169928277776,0.0,0.0,21.140000012,9.838666666666668,58.03,0,2.765110804981162,31.288382862258345,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.8,5.925,100.0,80.75,5.4750000000000005,6.9470963,0.0,8.625,21.17703706,57.09333333333333,57.0,57.0,57.0,60.22,-11.301333345333331,-0.0162963093333345,-0.0606666666666679,9.899333333333336,9.78,21.15469138111111,9.850666666666667,10.713546,10.550592,10.540364,10.567349,11.1417885,0,4.0,0,0.0,-0.26,6.4,93.6
2022-10-01 01:00:00,107.15876922777,0.0,0.0,21.17703706,9.78,60.22,0,2.765110804981162,31.288382862258345,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.9,6.1,100.0,81.0,5.4,6.9129305,0.0,8.5,21.21999998,58.03,57.09333333333333,57.0,57.0,60.73,-11.39703706,0.0370370480000019,-0.0586666666666673,9.838666666666668,9.829333333333333,21.157777797777776,9.839333333333334,11.1417885,10.713546,10.550592,10.540364,11.264185,0,4.0,0,0.0,-0.24,6.2,93.8
2022-10-01 01:15:00,107.31515180555,0.0,0.0,21.21999998,9.829333333333333,60.73,0,2.765110804981162,31.288382862258345,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.825,5.925,100.0,82.5,5.550000000000001,6.9958696,0.0,8.4,21.17703706,60.22,58.03,57.09333333333333,57.0,60.09333333333333,-11.390666646666668,0.0429629200000007,0.0493333333333332,9.78,9.670666666666667,21.179012350666667,9.816,11.264185,11.1417885,10.713546,10.550592,11.118352,0,4.0,0,0.0,-0.22,6.0,94.0
2022-10-01 01:30:00,109.901992711108,0.0,0.0,21.17703706,9.670666666666667,60.09333333333333,0,2.765110804981162,31.288382862258345,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.75,5.75,100.0,84.0,5.7,7.077425,0.0,8.3,21.1666667,60.73,60.22,58.03,57.09333333333333,60.03,-11.506370393333333,-0.0429629200000007,-0.1586666666666651,9.829333333333333,9.626666666666669,21.191358033333334,9.76,11.118352,11.264185,11.1417885,10.713546,11.099954,0,4.0,0,0.0,-0.24,6.2,93.8
2022-10-01 01:45:00,321.04521326111,0.0,0.0,21.1666667,9.626666666666669,60.03,0,2.765110804981162,31.288382862258345,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.675,5.575,100.0,85.5,5.85,7.15761,0.0,8.2,21.1666667,60.09333333333333,60.73,60.22,58.03,61.31333333333334,-11.540000033333332,-0.0103703599999995,-0.0440000000000004,9.670666666666667,9.606666666666666,21.187901246666662,9.708888888888888,11.099954,11.118352,11.264185,11.1417885,11.33725,0,4.0,0,0.0,-0.24,6.2,93.8
2022-10-01 02:00:00,109.233686011112,0.0,0.0,21.1666667,9.606666666666666,61.31333333333334,0,2.765110804981162,31.288382862258345,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.4,100.0,87.0,6.0,7.236439,0.0,8.1,21.1666667,60.03,60.09333333333333,60.73,60.22,61.98,-11.560000033333337,0.0,-0.0200000000000013,9.626666666666669,9.596666666666666,21.170123486666665,9.634666666666666,11.33725,11.099954,11.118352,11.264185,11.460521,0,4.0,0,0.0,-0.23,6.1,93.9
2022-10-01 02:15:00,96.783073005554,0.0,0.0,21.1666667,9.596666666666666,61.98,0,2.765110804981162,31.288382862258345,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.4,5.125,100.0,86.75,6.05,7.2505774,0.0,8.175,21.1666667,61.31333333333334,60.03,60.09333333333333,60.73,61.5,-11.570000033333336,0.0,-0.0099999999999997,9.606666666666666,9.402,21.1666667,9.61,11.460521,11.33725,11.099954,11.118352,11.371766,0,4.0,0,0.0,-0.23,6.1,93.9
