timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h
2023-02-01 12:45:00,227.779777327778,170.589009483334,170.60012013889,23.26111112,-4.600666666666667,19.5,2,6.522073963971043,89.46283146990821,12,2,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,492.0,463.5,342.6666666666667,15.975,39.0,51.5,41.5,-15.799999999999999,1.4460709,0.0,-4.7,23.2222222,19.5,19.5,19.316666666666666,19.0,19.466666666666665,-27.861777786666664,-0.016666680000000156,0.18799999999999972,-4.788666666666667,-4.374,23.285185190000004,-4.669999999999998,4.0676217,4.071494,4.0805407,4.0460224,4.0516615,0,0.0,0,1.0
2023-02-01 13:00:00,212.485666916666,167.883006644444,167.89411731666598,23.2222222,-4.374,19.466666666666665,2,6.522073963971043,89.46283146990821,13,2,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,511.0,482.5,372.6666666666667,15.9,38.2,66.0,41.0,-15.6,1.470158,0.0,-4.3,23.188888870000003,19.5,19.5,19.5,19.316666666666666,19.05,-27.5962222,-0.038888919999997995,0.22666666666666746,-4.600666666666667,-4.295333333333334,23.253703706666666,-4.5877777777777755,4.0516615,4.0676217,4.071494,4.0805407,3.957398,0,0.0,0,1.0
2023-02-01 13:15:00,194.83165092222,136.977298488888,136.985353749998,23.188888870000003,-4.295333333333334,19.05,2,6.522073963971043,89.46283146990821,13,2,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,511.0,496.75,399.4166666666667,16.25,39.1,63.75,41.5,-15.325,1.501435,0.0,-4.175,23.03703703,19.466666666666665,19.5,19.5,19.5,19.283333333333335,-27.48422220333334,-0.03333332999999783,0.078666666666666,-4.374,-3.7753333333333337,23.224074063333337,-4.423333333333331,3.957398,4.0516615,4.0676217,4.071494,3.9712536,0,0.0,0,1.0
2023-02-01 13:30:00,174.38746863889,141.2093514,141.21879552222,23.03703703,-3.7753333333333337,19.283333333333335,2,6.522073963971043,89.46283146990821,13,2,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,511.0,506.25,422.9166666666667,16.6,40.0,61.5,42.0,-15.05,1.5331403,0.0,-4.05,22.999999969999998,19.05,19.466666666666665,19.5,19.5,19.05,-26.812370363333333,-0.15185184000000262,0.52,-4.295333333333334,-3.243333333333333,23.1493827,-4.148222222222221,3.9712536,3.957398,4.0516615,4.0676217,3.9148986,0,0.0,0,1.0
2023-02-01 13:45:00,568.582255899996,221.211706744444,221.230594905554,22.999999969999998,-3.243333333333333,19.05,2,6.522073963971043,89.46283146990821,13,2,2,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,511.0,511.0,443.1666666666667,16.95,40.9,59.25,42.5,-14.775,1.5652784,0.0,-3.925,23.305555560000002,19.283333333333335,19.05,19.466666666666665,19.5,18.65,-26.24333330333333,-0.03703706000000295,0.5320000000000005,-3.7753333333333337,-3.4006666666666665,23.07530862333333,-3.771333333333331,3.9148986,3.9712536,3.957398,4.0516615,3.9001977,0,0.0,0,1.0
2023-02-01 14:00:00,277.561674972218,248.66533078888799,248.681996872218,23.305555560000002,-3.4006666666666665,18.65,2,6.522073963971043,89.46283146990821,14,2,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,511.0,511.0,460.1666666666667,17.3,41.8,57.0,43.0,-14.5,1.5978531,0.0,-3.8,23.65555557,19.05,19.283333333333335,19.05,19.466666666666665,18.05,-26.706222226666668,0.30555559000000443,-0.15733333333333333,-3.243333333333333,-3.470666666666667,23.11419752,-3.473111111111109,3.9001977,3.9148986,3.9712536,3.957398,3.850773,0,0.0,0,1.0
2023-02-01 14:15:00,283.631432088888,234.580338627778,234.595893572222,23.65555557,-3.470666666666667,18.05,2,6.522073963971043,89.46283146990821,14,2,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,503.25,509.0625,473.8541666666667,16.975,41.349999999999994,67.5,44.25,-14.15,1.6472305,0.0,-3.775,23.7222222,18.65,19.05,19.283333333333335,19.05,18.0,-27.126222236666667,0.3500000099999987,-0.07000000000000028,-3.4006666666666665,-3.752666666666667,23.320370366666666,-3.371555555555553,3.850773,3.9001977,3.9148986,3.9712536,3.854701,0,0.0,0,1.0
2023-02-01 14:30:00,247.572318894446,220.168137372222,220.18174796111,23.7222222,-3.752666666666667,18.0,2,6.522073963971043,89.46283146990821,14,2,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,495.5,505.1875,484.2291666666667,16.65,40.9,78.0,45.5,-13.8,1.6967782,0.0,-3.75,23.70555555,18.05,18.65,19.05,19.283333333333335,17.85,-27.474888866666667,0.06666663000000028,-0.28200000000000003,-3.470666666666667,-3.7746666666666666,23.561111110000002,-3.541333333333332,3.854701,3.850773,3.9001977,3.9148986,3.8189557,0,0.0,0,1.0
2023-02-01 14:45:00,244.014405633336,193.653920183334,193.666419683334,23.70555555,-3.7746666666666666,17.85,2,6.522073963971043,89.46283146990821,14,2,2,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,487.75,499.375,491.2916666666667,16.325,40.45,88.5,46.75,-13.45,1.7464962,0.0,-3.725,23.581481516666667,18.0,18.05,18.65,19.05,17.5,-27.480222216666668,-0.016666650000001226,-0.021999999999999797,-3.752666666666667,-3.6853333333333333,23.69444444,-3.665999999999998,3.8189557,3.854701,3.850773,3.9001977,3.7177258,0,0.0,0,1.0
2023-02-01 15:00:00,174.18469891667,147.930749233332,147.939637777776,23.581481516666667,-3.6853333333333333,17.5,2,6.522073963971043,89.46283146990821,15,2,2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,480.0,491.625,495.0416666666667,16.0,40.0,99.0,48.0,-13.1,1.7963848,0.0,-3.7,23.30555555,17.85,18.0,18.05,18.65,17.65,-27.26681485,-0.12407403333333278,0.08933333333333326,-3.7746666666666666,-3.634666666666667,23.669753088888886,-3.7375555555555535,3.7177258,3.8189557,3.854701,3.850773,3.6910717,0,0.0,0,1.0
