timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,month,PMV,PPD,Overall_Comfort
2022-08-14 13:30:00,60.651462727778,36.190496772222,36.196607611112,22.248333357,25.855,50.5,8,-1.04,27.7,72.3
2022-08-14 13:45:00,90.79164602222,54.072837,54.08117,22.140000012,25.66333333333333,50.75,8,-1.07,29.3,70.7
2022-08-14 14:00:00,91.666333399992,55.024187844444,55.0327986,22.055555581333333,26.31866666666667,51.0,8,-1.1,30.5,69.5
2022-08-14 14:15:00,91.688832366664,55.136961116666,55.147238505554,21.972222202,26.34333333333333,51.25,8,-1.13,31.8,68.2
2022-08-14 14:30:00,103.90556594444,55.754436416666,55.763880472222,21.888888881333333,26.94533333333333,51.5,8,-1.15,33.0,67.0
2022-08-14 14:45:00,122.203444950002,66.580670033332,66.590669616666,21.833333302,26.674,51.49,8,-1.17,34.0,66.0
2022-08-14 15:00:00,144.029794294438,53.1987053,53.208427127778,21.746666682666667,26.23,51.18666666666666,8,-1.21,35.5,64.5
2022-08-14 15:15:00,90.969138955552,54.3294934,54.339215227778,21.474444472,25.828666666666667,51.75,8,-1.3,40.0,60.0
2022-08-14 15:30:00,91.438286872218,54.7569763,54.766142550002,21.277777800000003,26.264666666666667,52.406666666666666,8,-1.36,43.4,56.6
2022-08-14 15:45:00,91.054691133328,54.3828246,54.391713127778,21.111111148000003,26.296666666666667,52.51,8,-1.42,46.4,53.6
2022-08-14 16:00:00,91.023025699996,54.437544644444,54.447266488888,20.95481479733333,26.327333333333332,52.906666666666666,8,-1.47,49.2,50.8
2022-08-14 16:15:00,160.63829662777,27.478623044444,27.485567249998,20.86222221,26.63,53.25,8,-1.5,50.8,49.2
2022-08-14 16:30:00,58.17683974999,0.0,0.0,20.86444441733333,26.474,53.5,8,-1.5,50.7,49.3
2022-08-14 16:45:00,110.511690622216,0.0,0.0,21.026666688,26.278,53.51,8,-1.44,47.6,52.4
2022-08-14 17:00:00,64.223820044436,0.0,0.0,21.156296321333333,25.84933333333333,53.906666666666666,8,-1.39,45.1,54.9
2022-08-14 17:15:00,48.725551033328,0.0,0.0,21.222222202,25.88733333333333,54.0,8,-1.37,43.9,56.1
2022-08-14 17:30:00,59.480398672214,0.0,0.0,21.27777778133333,25.703333333333333,54.0,8,-1.35,42.9,57.1
2022-08-14 17:45:00,152.789443911104,0.0,0.0,21.3611111,25.842666666666663,54.0,8,-1.32,41.4,58.6
2022-08-14 18:00:00,55.186403755548,0.0,0.0,21.444444418666667,25.872666666666667,54.0,8,-1.29,39.9,60.1
2022-08-14 18:15:00,38.096254238874,0.0,0.0,21.5,25.64133333333333,54.0,8,-1.27,38.9,61.1
2022-08-14 18:30:00,38.130974999988,0.0,0.0,21.534814842666663,25.59733333333333,54.0,8,-1.26,38.3,61.7
2022-08-14 18:45:00,38.201249922212,0.0,0.0,21.501111112,25.630666666666663,54.0,8,-1.27,38.9,61.1
2022-08-14 19:00:00,38.211527361098,0.0,0.0,21.5,25.518,54.0,8,-1.27,38.9,61.1
2022-08-14 19:15:00,38.318745205546,0.0,0.0,21.498888888,25.350666666666665,54.0,8,-1.27,38.9,61.1
2022-08-14 19:30:00,53.149818605546,0.0,0.0,21.454814778666663,25.212,54.0,8,-1.29,39.7,60.3
2022-08-14 19:45:00,105.333842077776,49.810785272222,49.81939606111,21.415555538,24.95133333333333,54.24,8,-1.3,40.3,59.7
2022-08-14 20:00:00,176.411554405554,48.017801411112,48.027245483334,21.302222201333333,24.700666666666667,54.09333333333333,8,-1.34,42.4,57.6
2022-08-14 20:15:00,88.927276283326,52.437902366668,52.44679087778,21.05666666,24.384666666666664,53.74,8,-1.43,47.0,53.0
2022-08-14 20:30:00,85.730737566656,49.187754627778,49.195254311112,20.843703678666664,24.078666666666667,53.0,8,-1.51,51.2,48.8
2022-08-14 20:45:00,80.38817354443201,43.773249,43.781859805554,20.666666650000003,23.656,52.76,8,-1.57,54.6,45.4
2022-08-14 21:00:00,80.161793716654,43.4665946,43.475483144444,20.5,23.354,53.0,8,-1.62,57.7,42.3
2022-08-14 21:15:00,84.15441168888,42.552186744444,42.559964233332,20.362222212,23.12,53.0,8,-1.67,60.3,39.7
2022-08-14 21:30:00,197.820975861106,41.825271388888,41.833326633332,20.27777778133333,22.820666666666668,53.09333333333333,8,-1.7,61.8,38.2
2022-08-14 21:45:00,89.216986877772,41.191407811112,41.199740844444,20.19444445,22.582,53.49,8,-1.73,63.2,36.8
2022-08-14 22:00:00,76.55749332777,39.592860655556,39.600082616666,20.111111118666667,22.25933333333333,53.5,8,-1.76,64.7,35.3
2022-08-14 22:15:00,38.656787199992,0.0,0.0,20.058888932,21.774,53.51,8,-1.77,65.7,34.3
2022-08-14 22:30:00,38.325689377768,0.0,0.0,20.1666667,21.418,53.906666666666666,8,-1.73,63.6,36.4
2022-08-14 22:45:00,38.417352377768,0.0,0.0,20.30444444,21.31733333333333,54.0,8,-1.69,61.0,39.0
2022-08-14 23:00:00,38.502071088884,0.0,0.0,20.39925926,21.04133333333333,54.0,8,-1.65,59.3,40.7
2022-08-14 23:15:00,51.972087933324,0.0,0.0,20.525555578,20.942,54.01,8,-1.61,56.9,43.1
2022-08-14 23:30:00,57.839353233324,0.0,0.0,20.56592596,20.820666666666668,54.406666666666666,8,-1.59,56.0,44.0
2022-08-14 23:45:00,42.830786849994,0.0,0.0,20.611111102,20.436,54.5,8,-1.58,55.1,44.9
2022-08-15 00:00:00,136.946188666664,0.0,0.0,20.66666668133333,20.295333333333332,54.5,8,-1.56,54.1,45.9
2022-08-15 00:15:00,38.858445699996,0.0,0.0,20.72111109,20.241333333333333,54.5,8,-1.54,53.0,47.0
2022-08-15 00:30:00,38.829557938886,0.0,0.0,20.732592578666665,19.908,54.59333333333333,8,-1.53,52.8,47.2
2022-08-15 00:45:00,38.871500711108,0.0,0.0,20.776666688,19.54733333333333,54.99,8,-1.52,51.8,48.2
2022-08-15 01:00:00,44.07740358333,0.0,0.0,20.7777778,19.31,55.0,8,-1.52,51.8,48.2
2022-08-15 01:15:00,55.194736772214,0.0,0.0,20.7777778,19.092142857142854,55.0,8,-1.52,51.8,48.2
2022-08-15 01:30:00,122.84953040555,0.0,0.0,20.7777778,18.822142857142858,55.0,8,-1.52,51.8,48.2
2022-08-15 01:45:00,39.08538102222,0.0,0.0,20.80444444,18.473333333333336,55.0,8,-1.51,51.3,48.7
2022-08-15 02:00:00,36.415210033332,0.0,0.0,20.786111125,17.967142857142857,55.0,8,-1.51,51.7,48.3
2022-08-15 02:15:00,36.436875933328,0.0,0.0,20.7777778,18.004285714285714,55.0,8,-1.52,51.8,48.2
2022-08-15 02:30:00,38.856778983334,0.0,0.0,20.7777778,18.078,55.0,8,-1.52,51.8,48.2
2022-08-15 02:45:00,28.378031533332,0.0,0.0,20.7777778,17.846363636363638,55.0,8,-1.52,51.8,48.2
2022-08-15 03:00:00,173.02085687221398,11.853136988888,11.857859099996,20.7777778,17.59846153846154,55.107692307692304,8,-1.52,51.8,48.2
2022-08-15 03:15:00,91.009970772214,34.6327813,34.63972552222,20.720000028,17.322,55.48,8,-1.53,52.8,47.2
2022-08-15 03:30:00,72.189056922216,33.446717644444,33.455050711108,20.555555581333333,16.958666666666666,55.09333333333333,8,-1.59,56.0,44.0
2022-08-15 03:45:00,68.982240799992,31.513183872222,31.52040588333,20.388888852,16.747333333333334,54.99,8,-1.65,59.1,40.9
2022-08-15 04:00:00,64.753521022216,29.792419355556,29.798808049998,20.21746029571429,16.729285714285712,54.57857142857143,8,-1.71,62.5,37.5
2022-08-15 04:15:00,69.774153538882,32.368982955556,32.376482738886,20.083333348,16.513333333333332,54.5,8,-1.76,64.9,35.099999999999994
2022-08-15 04:30:00,70.362741111104,33.016179316666,33.023401277776,19.95481479733333,16.380666666666666,54.406666666666666,8,-1.81,67.3,32.7
2022-08-15 04:45:00,77.315518572214,33.349499266668005,33.356999033332,19.8611111,16.334,54.01,8,-1.84,69.1,30.900000000000006
2022-08-15 05:00:00,89.598082899988,33.004790888888,33.012568427774,19.78814816,16.313333333333333,54.09333333333333,8,-1.86,70.3,29.700000000000003
2022-08-15 05:15:00,79.479043061106,33.149229511112,33.156173749998,19.74888889,16.316666666666666,54.48,8,-1.88,70.9,29.099999999999994
2022-08-15 05:30:00,61.064224149994,24.086258744444,24.091814138886,19.66666668133333,16.216,54.18666666666666,8,-1.91,72.3,27.700000000000003
2022-08-15 05:45:00,135.12181731110402,0.0,0.0,19.642222234,16.27,54.75,8,-1.91,72.6,27.400000000000006
2022-08-15 06:00:00,38.201805399992,0.0,0.0,19.76740742133333,16.3,55.406666666666666,8,-1.86,70.3,29.700000000000003
2022-08-15 06:15:00,38.21069392777,0.0,0.0,19.8611111,16.366,55.51,8,-1.83,68.6,31.400000000000006
2022-08-15 06:30:00,38.077088205546,0.0,0.0,19.944444418666667,16.398666666666667,55.906666666666666,8,-1.8,67.0,33.0
2022-08-15 06:45:00,53.546191683322,0.0,0.0,20.027777798,16.566666666666666,56.01,8,-1.77,65.5,34.5
2022-08-15 07:00:00,56.90577942777,0.0,0.0,20.10074074,16.692666666666664,56.406666666666666,8,-1.74,64.1,35.900000000000006
2022-08-15 07:15:00,135.840399766656,0.0,0.0,20.1388889,16.813333333333333,56.51,8,-1.73,63.3,36.7
2022-08-15 07:30:00,66.744274688884,0.0,0.0,20.1666667,16.842666666666666,56.906666666666666,8,-1.72,62.7,37.3
2022-08-15 07:45:00,37.841264355544,0.0,0.0,20.195555562,17.593999999999998,57.0,8,-1.71,62.1,37.9
2022-08-15 08:00:00,37.704880844436,0.0,0.0,20.26740742133333,18.351333333333333,57.09333333333333,8,-1.68,60.8,39.2
2022-08-15 08:15:00,37.78821074444,0.0,0.0,20.307777772,19.400666666666663,57.74,8,-1.66,59.8,40.2
2022-08-15 08:30:00,45.53706752777,0.0,0.0,20.444444418666667,20.481333333333332,58.0,8,-1.61,57.2,42.8
2022-08-15 08:45:00,57.391037716662,0.0,0.0,20.64111112,21.154666666666667,57.75,8,-1.55,53.5,46.5
2022-08-15 09:00:00,85.802956811104,39.7050784,39.713411416666,20.93407404,21.474666666666668,57.406666666666666,8,-1.45,48.1,51.9
2022-08-15 09:15:00,83.2580587111,46.804794416666,46.813682994442,21.134444454,21.072,56.5,8,-1.38,44.7,55.3
2022-08-15 09:30:00,86.73347502222,50.294932555556,50.304376611112,21.111111118666667,20.726666666666667,55.406666666666666,8,-1.4,45.5,54.5
2022-08-15 09:45:00,88.675064055552,52.080138911112,52.08847187778,20.971111138,20.662666666666667,54.26,8,-1.45,48.4,51.6
2022-08-15 10:00:00,84.790497311104,48.228626344444,48.237514888888,20.78814816,21.22533333333333,53.59333333333333,8,-1.52,52.1,47.9
2022-08-15 10:15:00,197.640427583326,47.074228072222,47.0822833,20.724444424,22.074666666666666,53.5,8,-1.54,53.3,46.7
2022-08-15 10:30:00,103.277813322216,47.5205991,47.52948766111,20.757037042666663,22.274,53.59333333333333,8,-1.53,52.7,47.3
2022-08-15 10:45:00,101.366500811108,48.580556683334,48.588611927778,20.754444444,22.362,53.98,8,-1.53,52.6,47.4
2022-08-15 11:00:00,86.881802455552,50.331597772222,50.340208494446,20.944444418666667,22.674666666666667,53.59333333333333,8,-1.47,49.1,50.9
2022-08-15 11:15:00,87.23012190554999,50.555755472222,50.564644016666,21.192222226,23.552666666666667,53.25,8,-1.38,44.7,55.3
2022-08-15 11:30:00,87.544831466664,50.9937935,51.002959833332,21.32296294,23.869333333333334,53.0,8,-1.34,42.4,57.6
2022-08-15 11:45:00,87.086516533328,50.44325993889,50.452426272222,21.303333328,24.836666666666662,53.0,8,-1.35,42.7,57.3
2022-08-15 12:00:00,86.36293417778,49.68662353889,49.694401011112,21.156296321333336,25.936,53.09333333333333,8,-1.4,45.4,54.6
2022-08-15 12:15:00,90.803312105558,51.097400455556,51.105455650002,20.948888894,26.98133333333333,53.51,8,-1.47,49.1,50.9
2022-08-15 12:30:00,96.996397788888,54.091169566668,54.097280455556,20.90296294133333,26.67866666666667,54.406666666666666,8,-1.48,49.7,50.3
2022-08-15 12:45:00,196.417143,55.650829444444,55.658329211108,20.69555556,27.092,55.24,8,-1.54,53.3,46.7
2022-08-15 13:00:00,80.015965883334,56.252472044444,56.258860705554,20.5,26.992,55.59333333333333,8,-1.61,56.9,43.1
2022-08-15 13:15:00,80.834544205558,57.090494072222,57.097716049998,20.362222212,27.3,56.24,8,-1.65,59.3,40.7
2022-08-15 13:30:00,81.256471811112,57.575474672222,57.582418877776,20.27777778133333,27.36133333333333,56.59333333333333,8,-1.68,60.7,39.3
2022-08-15 13:45:00,80.865654011116,57.23548823889,57.242987972222,20.22111109,27.13,57.0,8,-1.7,61.7,38.3
2022-08-15 14:00:00,80.70899362778201,57.054939927778,57.062717433332,20.131851838666663,26.774,57.406666666666666,8,-1.73,63.2,36.8
2022-08-15 14:15:00,101.299836727778,57.969347783334,57.97573646111,20.082222238,27.173333333333336,57.5,8,-1.74,64.1,35.900000000000006
2022-08-15 14:30:00,93.942631027778,54.0270055,54.033949705554,19.98962964,27.608,57.5,8,-1.78,65.8,34.2
