timestamp,total_energy,heat_pump,Tout,hour,hour_sin,hour_cos,max_Tout,min_Tout,avg_Tout,Tout_hourly_mean,Tout_std,total_energy_smoothed,energy_rolling_mean,energy_daily,energy_rolling_std,is_weekend,season,month,spike,total_energy_max
2018-06-01 00:00:00,943.6572246975372,73.9462220933702,17.60000038147,0,0.0,1.0,34.5,15.699999809265,23.813020825386044,18.012500524520874,0.3550235965214357,465.4626672108968,584.4061690860322,629.664394624145,191.0011637378067,0,2,6,341.52855512830956,3409.899662017821
2018-06-01 00:15:00,497.6953345404729,73.90644463433158,17.425000190735,0,0.0,1.0,34.5,15.699999809265,23.817708323399216,17.762500405311684,0.31787067497342797,457.3748895009361,566.0118908352322,631.779420095903,204.91536489189608,0,2,6,-445.9618901570643,3409.899662017821
2018-06-01 00:30:00,393.83888871934676,73.97122209337034,17.25,0,0.0,1.0,34.5,15.699999809265,23.821874986092237,17.537500262260565,0.2665366307750943,443.56005549960685,549.9120020548503,631.9356029704765,238.55486434442847,0,2,6,-103.85644582112616,3409.899662017821
2018-06-01 00:45:00,343.6159998575844,73.98455607096354,17.074999809265,0,0.0,1.0,34.5,15.699999809265,23.825520813465104,17.3375000953675,0.22592427476748247,426.59266573588064,445.76711162990983,631.2777893101728,273.59955878958834,0,2,6,-50.22288886176233,3409.899662017821
2018-06-01 01:00:00,391.869000583225,74.76633317735465,16.89999961853,1,0.25881904510252074,0.9659258262890683,34.5,15.699999809265,23.828645805517812,17.1624999046325,0.22592427476750998,426.59266573588064,392.8539446512859,631.7370717251742,64.92327958040319,0,2,6,48.25300072564056,3409.899662017821
2018-06-01 01:15:00,309.28622207641627,75.24733318752718,16.9249997138975,1,0.25881904510252074,0.9659258262890683,34.5,15.699999809265,23.83281246821083,17.037499785423126,0.16137446614787823,416.4447216457791,367.74250022040474,632.0106654696995,40.827047293832685,0,2,6,-82.58277850680872,3409.899662017821
2018-06-01 01:30:00,387.1642227172849,75.07344428168403,16.949999809265,1,0.25881904510252074,0.9659258262890683,34.5,15.699999809265,23.83802080154416,16.962499737739375,0.07772822523757444,416.4447216457791,365.39011128743465,633.0949953361794,39.06230777051269,0,2,6,77.8780006408686,3409.899662017821
2018-06-01 01:45:00,395.2135560777445,74.77500016954207,16.9749999046325,1,0.25881904510252074,0.9659258262890683,34.5,15.699999809265,23.844270805517798,16.93749976158125,0.032274984343980406,416.4447216457791,389.51661165025496,634.3677059915331,41.19720639002428,0,2,6,8.049333360459627,3409.899662017821
2018-06-01 02:00:00,415.58122202555353,74.8586668226454,17.0,2,0.49999999999999994,0.8660254037844387,34.5,15.699999809265,23.851562480131747,16.96249985694875,0.032274984343951284,416.4447216457791,391.1888893975147,635.3462846844285,46.57813879208188,0,2,6,20.36766594780903,3409.899662017821
2018-06-01 02:15:00,299.8858880784776,74.87877748277455,17.0999999046325,2,0.49999999999999994,0.8660254037844387,34.5,15.699999809265,23.860937486092208,17.0062499046325,0.06574891516987265,416.4447216457791,391.1888893975147,634.5063136242055,51.13498615923255,0,2,6,-115.69533394707594,3409.899662017821
