timestamp,timestamps,total_energy,pump_energy,hvac_energy,Tin,Tout,RH,hvac_mode,thr_off_low,thr_low_high,hour,dow,month,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,SW_down,SW1h,SW3h,wind10m,windgusts10m,cloudcover,rh2m,dewpoint2m,AH_out,precip1h,Tout_hourly,Tin_target,RH_lag1,RH_lag2,RH_lag3,RH_lag4,RH_target,T_diff,Tin_diff,Tout_diff,Tout_lag1,Tout_fut1,Tin_ma3,Tout_ma3,AH,AH_lag1,AH_lag2,AH_lag3,AH_target,is_trans_off,off_runtime_1h,is_trans,on_runtime_1h,PMV,PPD,Overall_Comfort,hvac_binary
2022-10-01 00:00:00,2022-10-01 00:00:00,0.0,0.0,0.0,24.18518519666667,9.919333333333332,65.85,0,5.540526691611522,76.71564875425268,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.5,5.4,100.0,80.0,5.7,7.049856,0.0,9.0,24.1888889,65.85,65.85,65.85,65.85,66.85,-14.265851863333337,0.0,0.0,9.919333333333332,9.814,24.18518519666667,9.919333333333332,14.477419,14.477419,14.477419,14.477419,14.700361,1,1.0,1,0.0,0.55,11.3,88.7,0
2022-10-01 00:15:00,2022-10-01 00:15:00,0.0,0.0,0.0,24.1888889,9.814,66.85,0,5.540526691611522,76.71564875425268,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.575,100.0,80.25,5.625,7.01556,0.0,8.875,24.2185185,65.85,65.85,65.85,65.85,68.76666666666667,-14.374888899999998,0.0037037033333291,-0.1053333333333323,9.919333333333332,9.899333333333336,24.18703704833333,9.866666666666667,14.700361,14.477419,14.477419,14.477419,15.147258,0,2.0,0,0.0,0.56,11.5,88.5,0
2022-10-01 00:30:00,2022-10-01 00:30:00,0.0,0.0,0.0,24.2185185,9.899333333333336,68.76666666666667,0,5.540526691611522,76.71564875425268,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.7,5.75,100.0,80.5,5.550000000000001,6.9813075,0.0,8.75,24.18333335,66.85,65.85,65.85,65.85,69.5,-14.319185166666667,0.0296296000000033,0.0853333333333346,9.814,9.838666666666668,24.19753086555556,9.877555555555556,15.147258,14.700361,14.477419,14.477419,15.278287,0,3.0,0,0.0,0.58,12.0,88.0,0
2022-10-01 00:45:00,2022-10-01 00:45:00,0.0,0.0,0.0,24.18333335,9.838666666666668,69.5,0,5.540526691611522,76.71564875425268,0,5,10,0.0,1.0,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.8,5.925,100.0,80.75,5.4750000000000005,6.9470963,0.0,8.625,24.1666667,68.76666666666667,66.85,65.85,65.85,69.13333333333334,-14.344666683333337,-0.0351851500000002,-0.0606666666666679,9.899333333333336,9.78,24.196913583333338,9.850666666666667,15.278287,15.147258,14.700361,14.477419,15.1833315,0,4.0,0,0.0,0.57,11.9,88.1,0
2022-10-01 01:00:00,2022-10-01 01:00:00,0.0,0.0,0.0,24.1666667,9.78,69.13333333333334,0,5.540526691611522,76.71564875425268,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.9,6.1,100.0,81.0,5.4,6.9129305,0.0,8.5,24.1666667,69.5,68.76666666666667,66.85,65.85,68.45,-14.3866667,-0.0166666500000012,-0.0586666666666673,9.838666666666668,9.829333333333333,24.189506183333336,9.839333333333334,15.1833315,15.278287,15.147258,14.700361,15.033256,0,4.0,0,0.0,0.57,11.7,88.3,0
2022-10-01 01:15:00,2022-10-01 01:15:00,0.0,0.0,0.0,24.1666667,9.829333333333333,68.45,0,5.540526691611522,76.71564875425268,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.825,5.925,100.0,82.5,5.550000000000001,6.9958696,0.0,8.4,24.18703705,69.13333333333334,69.5,68.76666666666667,66.85,67.85,-14.337333366666668,0.0,0.0493333333333332,9.78,9.670666666666667,24.17222225,9.816,15.033256,15.1833315,15.278287,15.147258,14.9186945,0,4.0,0,0.0,0.56,11.6,88.4,0
2022-10-01 01:30:00,2022-10-01 01:30:00,0.0,0.0,0.0,24.18703705,9.670666666666667,67.85,0,5.540526691611522,76.71564875425268,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.75,5.75,100.0,84.0,5.7,7.077425,0.0,8.3,24.2222222,68.45,69.13333333333334,69.5,68.76666666666667,67.1,-14.516370383333332,0.0203703500000003,-0.1586666666666651,9.829333333333333,9.626666666666669,24.17345681666667,9.76,14.9186945,15.033256,15.1833315,15.278287,14.7832365,0,4.0,0,0.0,0.56,11.6,88.4,0
2022-10-01 01:45:00,2022-10-01 01:45:00,0.0,0.0,0.0,24.2222222,9.626666666666669,67.1,0,5.540526691611522,76.71564875425268,1,5,10,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.675,5.575,100.0,85.5,5.85,7.15761,0.0,8.2,24.2222222,67.85,68.45,69.13333333333334,69.5,65.98333333333333,-14.595555533333334,0.0351851500000002,-0.0440000000000004,9.670666666666667,9.606666666666666,24.191975316666667,9.708888888888888,14.7832365,14.9186945,15.033256,15.1833315,14.537216,0,4.0,0,0.0,0.57,11.7,88.3,0
2022-10-01 02:00:00,2022-10-01 02:00:00,0.0,0.0,0.0,24.2222222,9.606666666666666,65.98333333333333,0,5.540526691611522,76.71564875425268,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.6,5.4,100.0,87.0,6.0,7.236439,0.0,8.1,24.21111109,67.1,67.85,68.45,69.13333333333334,64.4,-14.615555533333335,0.0,-0.0200000000000013,9.626666666666669,9.596666666666666,24.21049381666667,9.634666666666666,14.537216,14.7832365,14.9186945,15.033256,14.179451,0,4.0,0,0.0,0.56,11.5,88.5,0
2022-10-01 02:15:00,2022-10-01 02:15:00,0.0,0.0,0.0,24.21111109,9.596666666666666,64.4,0,5.540526691611522,76.71564875425268,2,5,10,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0,2.4,5.125,100.0,86.75,6.05,7.2505774,0.0,8.175,24.03703703333333,65.98333333333333,67.1,67.85,68.45,61.25,-14.614444423333332,-0.0111111100000016,-0.0099999999999997,9.606666666666666,9.402,24.218518496666672,9.61,14.179451,14.537216,14.7832365,14.9186945,13.353417,0,4.0,0,0.0,0.54,11.2,88.8,0
